종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
009900,명신산업,경기관련소비재,5662.0,17.89,3.02,956.0,0.0,0.0,3174.0,213.0,267.0,11.1,26.2,1.24,331979.0
031430,신세계인터내셔날,경기관련소비재,20084.0,11.43,1.31,2300.0,1.14,300.0,3839.0,387.0,333.0,10.1,16.2,0.86,328619.0
057050,현대홈쇼핑,경기관련소비재,164432.0,5.31,0.29,8881.0,5.09,2400.0,5738.0,296.0,289.0,5.3,7.6,0.67,322506.0
025980,아난티,경기관련소비재,4429.0,25.07,1.25,221.0,0.0,0.0,569.0,51.0,-470.0,-2.7,-8.6,0.72,320807.0
004490,세방전지,경기관련소비재,88025.0,6.33,0.45,6291.0,1.51,600.0,3595.0,166.0,112.0,3.4,4.7,1.58,318003.0
271940,일진하이솔루스,경기관련소비재,8459.0,102.99,3.46,284.0,0.0,0.0,374.0,34.0,37.0,2.8,3.1,0.41,308027.0
000240,한국앤컴퍼니,경기관련소비재,39349.0,5.78,0.31,2094.0,4.96,600.0,3087.0,1027.0,998.0,6.8,7.5,1.13,287179.0
073240,금호타이어,경기관련소비재,4083.0,0.0,0.8,0.0,0.0,0.0,8941.0,18.0,-298.0,-1.6,-5.9,1.01,280941.0
009970,영원무역홀딩스,경기관련소비재,140307.0,2.71,0.37,19026.0,3.88,2000.0,10478.0,2293.0,2144.0,15.2,19.8,0.61,273871.0
080160,모두투어,경기관련소비재,4007.0,17.84,4.5,1012.0,0.0,0.0,81.0,-49.0,-19.0,-5.1,-32.5,0.63,266093.0
093050,LF,경기관련소비재,46904.0,3.62,0.32,4169.0,3.97,600.0,5242.0,558.0,433.0,7.7,11.9,0.75,264914.0
009450,경동나비엔,경기관련소비재,31164.0,5.75,1.09,5898.0,1.33,450.0,2483.0,35.0,222.0,8.4,17.5,0.62,237060.0
060980,HL홀딩스,경기관련소비재,102145.0,2.97,0.31,10531.0,6.39,2000.0,3143.0,444.0,-70.0,1.2,2.8,1.13,232721.0
